"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"自己","e",1,0.9004,"","",NA,NA,33
"我们","e",1,0.7486,"","",NA,NA,33
"俺","e",1,0.651,"","",NA,NA,33
"自己","e",1,0.5036,"","",NA,NA,33
"他们","i",1,0.6194,"","",NA,NA,33
"热情","e",0,0.5073,"","",NA,NA,33
"勇敢","e",1,0.8763,"","",NA,NA,33
"我","e",1,0.6055,"","",NA,NA,33
"我们","e",1,0.53,"","",NA,NA,33
"散漫","i",1,1.2737,"","",NA,NA,33
"他","i",1,0.6838,"","",NA,NA,33
"愚蠢","i",1,0.7301,"","",NA,NA,33
"冷静","e",1,1.2319,"","",NA,NA,33
"下贱","i",1,0.6241,"","",NA,NA,33
"他人","i",1,0.782,"","",NA,NA,33
"机智","e",1,0.9755,"","",NA,NA,33
"优秀","e",1,0.5874,"","",NA,NA,33
"他的","i",1,0.6843,"","",NA,NA,33
"他人","i",1,0.5326,"","",NA,NA,33
"诚恳","e",1,0.8189,"","",NA,NA,33
"我的","e",1,0.4772,"","",NA,NA,33
"聪明","e",1,0.6419,"","",NA,NA,33
"我们","e",1,0.5502,"","",NA,NA,33
"轻率","i",1,0.9229,"","",NA,NA,33
"他们","i",1,0.5383,"","",NA,NA,33
"他的","i",1,0.4537,"","",NA,NA,33
"正直","e",1,0.7318,"","",NA,NA,33
"自己","e",1,0.6959,"","",NA,NA,33
"其他","i",1,0.6109,"","",NA,NA,33
"俺","e",1,0.6112,"","",NA,NA,33
"悲观","i",1,0.8,"","",NA,NA,33
"我的","e",1,0.7441,"","",NA,NA,33
"他的","i",1,0.5673,"","",NA,NA,33
"我","e",1,0.4853,"","",NA,NA,33
"他","i",1,0.3919,"","",NA,NA,33
"冒失","i",1,1.0323,"","",NA,NA,33
"他人","i",1,0.8638,"","",NA,NA,33
"虚伪","i",1,0.8578,"","",NA,NA,33
"我","e",1,0.5034,"","",NA,NA,33
"自卑","i",1,0.951,"","",NA,NA,33
"无私","e",0,0.5816,"","",NA,NA,33
"朴实","e",1,0.7329,"","",NA,NA,33
"细腻","e",1,1.0042,"","",NA,NA,33
"他人","i",1,0.5661,"","",NA,NA,33
"乐观","e",1,0.7831,"","",NA,NA,33
"傲慢","i",1,0.8025,"","",NA,NA,33
"凶狠","i",1,0.9263,"","",NA,NA,33
"固执","i",1,0.6722,"","",NA,NA,33
"自私","i",1,1.2911,"","",NA,NA,33
"其他","i",1,0.6992,"","",NA,NA,33
"我","e",1,0.5564,"","",NA,NA,33
"活泼","e",1,0.8648,"","",NA,NA,33
"诚实","e",1,0.6483,"","",NA,NA,33
"我们","e",1,0.7983,"","",NA,NA,33
"他们","i",1,0.6415,"","",NA,NA,33
"公正","e",1,0.8149,"","",NA,NA,33
"俺","e",1,0.5487,"","",NA,NA,33
"他","i",1,0.5327,"","",NA,NA,33
"我的","e",1,0.6382,"","",NA,NA,33
"俺","e",1,0.5844,"","",NA,NA,33
"我的","e",1,0.651,"","",NA,NA,33
"其他","i",1,0.577,"","",NA,NA,33
"卑鄙","i",1,0.6823,"","",NA,NA,33
"其他","i",1,0.568,"","",NA,NA,33
"暴躁","i",1,0.6108,"","",NA,NA,33
"崇高","e",1,0.85,"","",NA,NA,33
"猖狂","i",1,0.6154,"","",NA,NA,33
"认真","e",1,0.625,"","",NA,NA,33
"他","i",1,0.6496,"","",NA,NA,33
"杰出","e",1,0.7263,"","",NA,NA,33
"执拗","i",1,0.6499,"","",NA,NA,33
"刻薄","i",1,0.6335,"","",NA,NA,33
"消极","i",1,0.6654,"","",NA,NA,33
"他的","i",1,0.6561,"","",NA,NA,33
"勤奋","e",1,0.5985,"","",NA,NA,33
"野蛮","i",1,0.6193,"","",NA,NA,33
"他们","i",1,0.7498,"","",NA,NA,33
"鲁莽","i",1,0.7382,"","",NA,NA,33
"稳重","e",1,0.856,"","",NA,NA,33
"自己","e",1,0.6828,"","",NA,NA,33
"杰出","e",1,0.8525,"","",NA,NA,33
"崇高","e",1,0.9012,"","",NA,NA,33
"轻率","i",1,0.7059,"","",NA,NA,33
"俺","e",1,0.6145,"","",NA,NA,33
"他们","i",1,0.7069,"","",NA,NA,33
"俺","e",1,0.5955,"","",NA,NA,33
"猖狂","i",1,0.7168,"","",NA,NA,33
"卑鄙","i",1,0.6849,"","",NA,NA,33
"暴躁","i",1,0.4837,"","",NA,NA,33
"自己","e",1,0.5335,"","",NA,NA,33
"消极","i",1,0.6609,"","",NA,NA,33
"俺","e",1,0.5839,"","",NA,NA,33
"散漫","i",1,0.7176,"","",NA,NA,33
"傲慢","i",1,0.584,"","",NA,NA,33
"诚实","e",1,0.6239,"","",NA,NA,33
"其他","i",1,0.5408,"","",NA,NA,33
"自己","e",1,0.5491,"","",NA,NA,33
"勤奋","e",1,0.6815,"","",NA,NA,33
"其他","i",1,0.5847,"","",NA,NA,33
"鲁莽","i",1,0.5492,"","",NA,NA,33
"我","e",1,0.5851,"","",NA,NA,33
"我们","e",0,0.3998,"","",NA,NA,33
"悲观","i",1,0.7341,"","",NA,NA,33
"凶狠","i",1,0.6506,"","",NA,NA,33
"正直","e",1,0.7298,"","",NA,NA,33
"他的","i",1,0.7817,"","",NA,NA,33
"我的","e",1,0.4753,"","",NA,NA,33
"稳重","e",1,0.8817,"","",NA,NA,33
"他","i",1,0.6326,"","",NA,NA,33
"下贱","i",1,0.6578,"","",NA,NA,33
"自私","i",1,0.833,"","",NA,NA,33
"勇敢","e",1,0.6668,"","",NA,NA,33
"刻薄","i",1,0.8826,"","",NA,NA,33
"执拗","i",1,0.5565,"","",NA,NA,33
"他人","i",1,0.6369,"","",NA,NA,33
"认真","e",1,0.7768,"","",NA,NA,33
"优秀","e",1,0.6668,"","",NA,NA,33
"热情","e",1,0.6347,"","",NA,NA,33
"他","i",1,0.7082,"","",NA,NA,33
"公正","e",1,0.6528,"","",NA,NA,33
"虚伪","i",1,0.7203,"","",NA,NA,33
"朴实","e",1,0.8871,"","",NA,NA,33
"其他","i",1,0.6026,"","",NA,NA,33
"自卑","i",1,0.7592,"","",NA,NA,33
"无私","e",1,0.8974,"","",NA,NA,33
"我的","e",1,0.8951,"","",NA,NA,33
"野蛮","i",1,0.7506,"","",NA,NA,33
"他的","i",1,0.7092,"","",NA,NA,33
"我们","e",1,0.61,"","",NA,NA,33
"他们","i",1,0.6215,"","",NA,NA,33
"我","e",1,0.8328,"","",NA,NA,33
"愚蠢","i",1,1.1481,"","",NA,NA,33
"我的","e",1,0.6695,"","",NA,NA,33
"固执","i",1,0.6843,"","",NA,NA,33
"机智","e",1,0.8237,"","",NA,NA,33
"他的","i",1,0.7501,"","",NA,NA,33
"我的","e",1,0.5244,"","",NA,NA,33
"他人","i",1,0.6804,"","",NA,NA,33
"自己","e",1,0.5651,"","",NA,NA,33
"诚恳","e",1,0.7568,"","",NA,NA,33
"我们","e",1,0.5499,"","",NA,NA,33
"自己","e",1,0.6676,"","",NA,NA,33
"我","e",1,0.4711,"","",NA,NA,33
"细腻","e",1,0.6415,"","",NA,NA,33
"他们","i",1,0.6833,"","",NA,NA,33
"乐观","e",1,1.0495,"","",NA,NA,33
"冒失","i",1,0.7169,"","",NA,NA,33
"活泼","e",1,0.5343,"","",NA,NA,33
"他人","i",1,0.6198,"","",NA,NA,33
"冷静","e",1,0.899,"","",NA,NA,33
"他人","i",1,0.7502,"","",NA,NA,33
"俺","e",1,0.6185,"","",NA,NA,33
"我们","e",1,0.6166,"","",NA,NA,33
"他们","i",0,0.5264,"","",NA,NA,33
"他的","i",1,0.588,"","",NA,NA,33
"聪明","e",1,0.6546,"","",NA,NA,33
"我","e",1,0.6039,"","",NA,NA,33
"其他","i",1,0.6504,"","",NA,NA,33
"他","i",1,0.7526,"","",NA,NA,33
"他","i",1,0.736,"","",NA,NA,33
"我的","e",1,0.6581,"","",NA,NA,33
"轻率","i",1,0.7158,"","",NA,NA,33
"他人","i",1,0.5725,"","",NA,NA,33
"乐观","e",1,1.2421,"","",NA,NA,33
"俺","e",1,0.6809,"","",NA,NA,33
"优秀","e",1,1.0078,"","",NA,NA,33
"野蛮","i",1,0.5329,"","",NA,NA,33
"我们","e",1,0.5564,"","",NA,NA,33
"勇敢","e",1,0.6016,"","",NA,NA,33
"公正","e",1,0.7161,"","",NA,NA,33
"俺","e",1,0.6347,"","",NA,NA,33
"我的","e",1,0.4579,"","",NA,NA,33
"他人","i",1,0.6343,"","",NA,NA,33
"聪明","e",1,0.5662,"","",NA,NA,33
"机智","e",1,0.7226,"","",NA,NA,33
"他","i",1,0.6888,"","",NA,NA,33
"杰出","e",1,0.6216,"","",NA,NA,33
"悲观","i",1,0.5812,"","",NA,NA,33
"鲁莽","i",1,0.5973,"","",NA,NA,33
"勤奋","e",1,0.6422,"","",NA,NA,33
"自己","e",1,0.5816,"","",NA,NA,33
"正直","e",1,0.6313,"","",NA,NA,33
"他","i",0,0.4668,"","",NA,NA,33
"我的","e",1,0.6145,"","",NA,NA,33
"散漫","i",1,0.5355,"","",NA,NA,33
"愚蠢","i",1,0.6312,"","",NA,NA,33
"暴躁","i",1,0.5876,"","",NA,NA,33
"虚伪","i",1,0.4623,"","",NA,NA,33
"凶狠","i",1,0.5998,"","",NA,NA,33
"热情","e",1,0.7606,"","",NA,NA,33
"傲慢","i",1,0.6359,"","",NA,NA,33
"自己","e",1,0.6212,"","",NA,NA,33
"认真","e",1,0.5475,"","",NA,NA,33
"其他","i",1,0.5653,"","",NA,NA,33
"猖狂","i",1,0.688,"","",NA,NA,33
"冷静","e",1,0.6324,"","",NA,NA,33
"其他","i",1,0.6334,"","",NA,NA,33
"俺","e",1,0.6425,"","",NA,NA,33
"无私","e",1,1.3411,"","",NA,NA,33
"我的","e",1,0.5934,"","",NA,NA,33
"他","i",1,0.6675,"","",NA,NA,33
"自卑","i",0,0.6824,"","",NA,NA,33
"冒失","i",0,NA,"","",NA,NA,33
"他们","i",1,1.3097,"","",NA,NA,33
"他人","i",1,0.6833,"","",NA,NA,33
"细腻","e",1,0.6004,"","",NA,NA,33
"我们","e",1,0.5576,"","",NA,NA,33
"稳重","e",1,0.7056,"","",NA,NA,33
"我","e",1,0.4504,"","",NA,NA,33
"其他","i",1,0.5317,"","",NA,NA,33
"他的","i",1,0.6498,"","",NA,NA,33
"诚恳","e",1,0.6727,"","",NA,NA,33
"我们","e",1,0.7343,"","",NA,NA,33
"卑鄙","i",1,0.5865,"","",NA,NA,33
"自己","e",1,0.5277,"","",NA,NA,33
"我","e",1,0.5404,"","",NA,NA,33
"他人","i",1,0.4984,"","",NA,NA,33
"刻薄","i",1,0.7009,"","",NA,NA,33
"崇高","e",1,0.9831,"","",NA,NA,33
"他的","i",1,0.6462,"","",NA,NA,33
"消极","i",1,1.0711,"","",NA,NA,33
"他","i",1,0.6832,"","",NA,NA,33
"下贱","i",1,0.5657,"","",NA,NA,33
"他的","i",1,0.6338,"","",NA,NA,33
"我","e",0,NA,"","",NA,NA,33
"俺","e",1,1.0989,"","",NA,NA,33
"诚实","e",1,1.0152,"","",NA,NA,33
"我","e",1,0.6792,"","",NA,NA,33
"活泼","e",1,0.5675,"","",NA,NA,33
"朴实","e",1,0.716,"","",NA,NA,33
"自私","i",0,1.099,"","",NA,NA,33
"他们","i",1,0.7324,"","",NA,NA,33
"他的","i",1,0.4286,"","",NA,NA,33
"其他","i",1,0.6177,"","",NA,NA,33
"他们","i",1,0.4871,"","",NA,NA,33
"执拗","i",1,0.6558,"","",NA,NA,33
"我们","e",1,0.732,"","",NA,NA,33
"他们","i",1,0.5758,"","",NA,NA,33
"自己","e",1,1.0542,"","",NA,NA,33
"固执","i",1,0.5028,"","",NA,NA,33
"","",NA,NA,"他","e",1,0.8996,33
"","",NA,NA,"他的","e",1,0.7019,33
"","",NA,NA,"稳重","e",1,0.542,33
"","",NA,NA,"机智","e",1,0.4839,33
"","",NA,NA,"优秀","e",1,0.7046,33
"","",NA,NA,"朴实","e",1,0.5069,33
"","",NA,NA,"我","i",1,0.6259,33
"","",NA,NA,"细腻","e",0,0.8166,33
"","",NA,NA,"虚伪","i",1,0.6532,33
"","",NA,NA,"热情","e",1,0.6832,33
"","",NA,NA,"固执","i",1,0.7736,33
"","",NA,NA,"无私","e",1,1.4369,33
"","",NA,NA,"冷静","e",1,0.9333,33
"","",NA,NA,"我","i",1,1.0925,33
"","",NA,NA,"自卑","i",1,1.0538,33
"","",NA,NA,"俺","i",1,0.8235,33
"","",NA,NA,"俺","i",1,0.5666,33
"","",NA,NA,"刻薄","i",1,0.7021,33
"","",NA,NA,"他们","e",1,0.5692,33
"","",NA,NA,"活泼","e",1,0.767,33
"","",NA,NA,"崇高","e",1,0.6002,33
"","",NA,NA,"其他","e",1,0.7739,33
"","",NA,NA,"其他","e",1,0.4337,33
"","",NA,NA,"散漫","i",1,0.8208,33
"","",NA,NA,"我的","i",1,0.4941,33
"","",NA,NA,"自己","i",1,0.9118,33
"","",NA,NA,"自己","i",1,0.5665,33
"","",NA,NA,"凶狠","i",1,1.0057,33
"","",NA,NA,"自己","i",1,0.7335,33
"","",NA,NA,"他人","e",1,0.6999,33
"","",NA,NA,"乐观","e",0,NA,33
"","",NA,NA,"其他","e",0,0.65,33
"","",NA,NA,"轻率","i",1,0.8773,33
"","",NA,NA,"冒失","i",1,0.9764,33
"","",NA,NA,"其他","e",1,0.713,33
"","",NA,NA,"猖狂","i",1,0.7829,33
"","",NA,NA,"我们","i",1,0.8328,33
"","",NA,NA,"自私","i",0,1.1738,33
"","",NA,NA,"聪明","e",1,0.6179,33
"","",NA,NA,"他人","e",1,0.5995,33
"","",NA,NA,"自己","i",1,1.086,33
"","",NA,NA,"我","i",1,1.1827,33
"","",NA,NA,"正直","e",1,0.5521,33
"","",NA,NA,"俺","i",1,0.8324,33
"","",NA,NA,"卑鄙","i",1,0.5883,33
"","",NA,NA,"杰出","e",1,0.6673,33
"","",NA,NA,"野蛮","i",1,0.5897,33
"","",NA,NA,"鲁莽","i",1,0.6167,33
"","",NA,NA,"他人","e",1,0.6284,33
"","",NA,NA,"他","e",1,1.2004,33
"","",NA,NA,"他们","e",1,0.4211,33
"","",NA,NA,"悲观","i",1,0.6331,33
"","",NA,NA,"他","e",1,0.4505,33
"","",NA,NA,"他们","e",1,0.4291,33
"","",NA,NA,"认真","e",1,1.166,33
"","",NA,NA,"执拗","i",1,0.6107,33
"","",NA,NA,"我的","i",0,0.4265,33
"","",NA,NA,"傲慢","i",1,0.7025,33
"","",NA,NA,"勤奋","e",1,0.7666,33
"","",NA,NA,"我的","i",1,0.9591,33
"","",NA,NA,"愚蠢","i",1,0.603,33
"","",NA,NA,"俺","i",1,0.721,33
"","",NA,NA,"消极","i",1,0.5514,33
"","",NA,NA,"诚实","e",0,0.7484,33
"","",NA,NA,"下贱","i",1,0.7685,33
"","",NA,NA,"我们","i",1,0.8833,33
"","",NA,NA,"我","i",1,1.0251,33
"","",NA,NA,"他的","e",1,0.9111,33
"","",NA,NA,"公正","e",1,0.7354,33
"","",NA,NA,"我们","i",0,0.4463,33
"","",NA,NA,"他","e",1,0.6833,33
"","",NA,NA,"他的","e",1,0.6711,33
"","",NA,NA,"诚恳","e",1,0.6365,33
"","",NA,NA,"勇敢","e",1,0.5115,33
"","",NA,NA,"他们","e",1,0.4501,33
"","",NA,NA,"他的","e",0,0.4829,33
"","",NA,NA,"他人","e",1,0.6004,33
"","",NA,NA,"我们","i",1,0.717,33
"","",NA,NA,"我的","i",1,0.4333,33
"","",NA,NA,"暴躁","i",1,0.6992,33
"","",NA,NA,"自卑","i",1,0.5831,33
"","",NA,NA,"我的","i",1,0.5339,33
"","",NA,NA,"他们","e",1,0.8175,33
"","",NA,NA,"我们","i",1,0.6534,33
"","",NA,NA,"机智","e",1,0.4751,33
"","",NA,NA,"诚实","e",1,0.6023,33
"","",NA,NA,"公正","e",1,0.5503,33
"","",NA,NA,"冷静","e",1,1.0945,33
"","",NA,NA,"我","i",1,0.7208,33
"","",NA,NA,"乐观","e",1,0.7698,33
"","",NA,NA,"崇高","e",1,0.5671,33
"","",NA,NA,"我的","i",1,0.633,33
"","",NA,NA,"稳重","e",1,0.749,33
"","",NA,NA,"冒失","i",1,0.7861,33
"","",NA,NA,"鲁莽","i",1,0.7007,33
"","",NA,NA,"我们","i",1,0.5837,33
"","",NA,NA,"他的","e",1,0.637,33
"","",NA,NA,"执拗","i",1,0.4997,33
"","",NA,NA,"自己","i",1,0.583,33
"","",NA,NA,"自己","i",1,0.7,33
"","",NA,NA,"凶狠","i",1,0.6999,33
"","",NA,NA,"卑鄙","i",1,0.5839,33
"","",NA,NA,"我们","i",1,0.7336,33
"","",NA,NA,"他","e",1,0.5859,33
"","",NA,NA,"暴躁","i",1,0.6051,33
