number,ans,qumn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,routine_1.started,fix.started,Number.started,key_resp.started,fix.stopped,Number.stopped,key_resp.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,routine.started,fb.started,fb.stopped,routine.stopped,key_resp.rt,key_resp.duration,participant,性别,年龄,左/右利手,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03773119999982555,0.05655239999987316,5.715520199999901,space,5.654189300000098,None,,,,,,,,,,,,,,,,,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
8,j,8,0,0,0,7,5.736051099999941,,,,,,,,5.7247970999999325,5.736051099999941,6.205901799999992,6.205901799999992,6.224152299999787,7.204620599999998,7.204620599999998,7.197871499999792,None,0,7.198270899999898,7.215249399999948,8.206296099999918,8.1984688,,,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
9,f,9,0,1,1,8,8.206296099999918,,,,,,,,8.198703199999954,8.218667299999879,8.71464089999995,8.71464089999995,8.71464089999995,9.702548699999852,9.702548699999852,9.698663099999976,None,0,9.698939199999813,9.702548699999852,10.702269599999909,10.690114199999925,,,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
2,j,2,0,2,2,1,10.702269599999909,,,,,,,,10.690333399999872,10.711178899999823,11.204955499999869,11.204955499999869,11.1997973,,,11.445777099999987,j,1,11.446082899999965,11.453355999999985,12.44605949999982,12.43821459999981,0.23738929999990432,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
5,f,5,0,3,3,4,12.44605949999982,,,,,,,,12.438392299999805,12.44605949999982,12.93676719999985,12.93676719999985,12.93676719999985,,,13.297561499999802,j,0,13.29783899999984,13.302877699999954,14.29872639999985,14.287015999999994,0.3522249999998621,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
7,f,7,0,4,4,6,14.29872639999985,,,,,,,,14.287226799999871,14.29872639999985,14.784762299999784,14.784762299999784,14.78915979999988,,,15.268598899999915,f,1,15.268915799999832,15.278926699999829,16.282453399999895,16.265083099999856,0.4781104000001051,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
3,f,3,0,5,5,2,16.282453399999895,,,,,,,,16.265267799999947,16.282453399999895,16.764918599999874,16.764918599999874,16.784461099999817,,,17.445503299999928,f,1,17.445787499999824,17.45596969999997,18.45081529999993,18.43875399999979,0.6794247999998788,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
10,j,10,0,6,6,9,18.45081529999993,,,,,,,,18.438929199999848,18.45081529999993,18.93685359999995,18.93685359999995,18.947112999999945,,,19.44948179999983,j,1,19.44977129999984,19.454905399999916,20.45190519999983,20.44577769999978,0.5061299999999846,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
6,j,6,0,7,7,5,20.45190519999983,,,,,,,,20.44603929999994,20.45190519999983,20.943871599999966,20.943871599999966,20.943871599999966,,,21.285757299999887,f,0,21.28600389999997,21.296558399999867,22.287914099999853,22.28124179999986,0.33532949999994344,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
4,j,4,0,8,8,3,22.287914099999853,,,,,,,,22.28149929999995,22.287914099999853,22.781742699999995,22.781742699999995,22.781742699999995,,,23.202626299999793,j,1,23.20284249999986,23.219262499999786,,24.202914499999906,0.4169532999999319,None,1,,,,2024-06-15_09h11.08.943,Number Judge,2024.1.4,None,2024-06-15 09h11.14.864122 +0800,
