﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_iso_reverse.rt,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_instruct.keys,key_instruct.rt
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,space,6.1221,e,1,0.8685,0,0,0,19,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6195,0,1,1,14,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5389,0,2,2,17,1,热情,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6067,0,3,3,33,1,自私,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6739,0,4,4,28,1,鲁莽,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5839,0,5,5,36,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6544,0,6,6,11,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5805,0,7,7,34,1,暴躁,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6139,0,8,8,21,1,虚伪,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6035,0,9,9,15,1,细腻,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6106,0,10,10,6,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5429,0,11,11,4,1,乐观,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.8685,0,12,12,12,1,无私,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5982,0,13,13,24,1,悲观,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6448,0,14,14,5,1,诚实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.595,0,15,15,0,1,优秀,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5648,0,16,16,27,1,傲慢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6013,0,17,17,8,1,勤奋,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6127,0,18,18,25,1,消极,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6098,0,19,19,23,1,刻薄,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5961,0,20,20,10,1,认真,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6346,0,21,21,16,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5685,0,22,22,29,1,冒失,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5356,0,23,23,13,1,公正,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6463,0,24,24,3,1,杰出,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.7163,0,25,25,38,1,轻率,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.8686,0,26,26,30,1,执拗,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6283,0,27,27,22,1,愚蠢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5839,0,28,28,7,1,勇敢,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.7147,0,29,29,37,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6235,0,30,30,35,1,猖狂,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6079,0,31,31,1,1,崇高,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.6986,0,32,32,39,1,下贱,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.8159,0,33,33,31,1,散漫,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.5622,0,34,34,2,1,聪明,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.555,0,35,35,9,1,机智,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,e,1,0.6005,0,36,36,18,1,活泼,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5331,0,37,37,32,1,凶狠,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.5177,0,38,38,26,1,自卑,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,i,1,0.552,0,39,39,20,1,卑鄙,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,space,12.7279,i,0,0.7428,0,0,0,12,1,聪明,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5829,0,1,1,33,1,刻薄,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5018,0,2,2,50,1,我,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5981,0,3,3,45,1,猖狂,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.4786,0,4,4,52,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5457,0,5,5,53,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5002,0,6,6,51,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.8693,0,7,7,22,1,无私,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5585,0,8,8,47,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.6266,0,9,9,41,1,散漫,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.6704,0,10,10,24,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5338,0,11,11,6,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.7276,0,12,12,25,1,细腻,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5549,0,13,13,56,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5987,0,14,14,46,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.4917,0,15,15,1,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5655,0,16,16,32,1,愚蠢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.6213,0,17,17,31,1,虚伪,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5068,0,18,18,71,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5312,0,19,19,9,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5849,0,20,20,17,1,勇敢,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5315,0,21,21,16,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5246,0,22,22,61,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.7052,0,23,23,76,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.4141,0,24,24,7,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.8536,0,25,25,13,1,杰出,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.7183,0,26,26,28,1,活泼,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.6263,0,27,27,74,1,俺,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.6175,0,28,28,21,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.6009,0,29,29,26,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5894,0,30,30,57,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.4741,0,31,31,78,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.4036,0,32,32,5,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5636,0,33,33,79,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.5993,0,34,34,54,1,俺,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,e,1,0.6253,0,35,35,29,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-24_21h34.38.073,IAT(Formal),2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,i,1,0.5864,0,36,36,42,1,凶狠,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
