﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_iso.rt,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_ipn.rt,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_instruct.keys,key_instruct.rt
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,space,5.18,,0,0,0,0,11,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,1,1,4,1,乐观,e,0.5616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,2,2,32,1,凶狠,i,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,3,3,27,1,傲慢,i,0.6588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,4,4,1,1,崇高,e,0.7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,5,5,16,1,冷静,e,0.9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,6,6,28,1,鲁莽,i,0.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,7,7,13,1,公正,e,0.4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,8,8,23,1,刻薄,i,0.5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,9,9,29,1,冒失,i,0.6789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,10,10,36,1,野蛮,i,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,11,11,15,1,细腻,e,0.5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,12,12,5,1,诚实,e,0.4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,13,13,8,1,勤奋,e,0.4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,14,14,17,1,热情,e,0.4548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,15,15,10,1,认真,e,0.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,16,16,14,1,朴实,e,0.4785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,17,17,3,1,杰出,e,0.5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,18,18,33,1,自私,i,0.6497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,0,0,19,19,12,1,无私,e,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,20,20,21,1,虚伪,i,0.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,0,0,21,21,38,1,轻率,i,0.5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,22,22,0,1,优秀,e,0.5423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,23,23,2,1,聪明,e,0.4776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,24,24,6,1,正直,e,0.4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,25,25,34,1,暴躁,i,0.4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,26,26,39,1,下贱,i,0.4749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,27,27,19,1,诚恳,e,0.4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,28,28,22,1,愚蠢,i,0.5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,29,29,35,1,猖狂,i,0.6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,30,30,24,1,悲观,i,0.5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,31,31,26,1,自卑,i,0.7621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,32,32,20,1,卑鄙,i,0.5421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,33,33,18,1,活泼,e,0.4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,34,34,25,1,消极,i,0.6184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,35,35,7,1,勇敢,e,0.4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,36,36,37,1,固执,i,0.5458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,37,37,30,1,执拗,i,0.5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,i,1,0,38,38,31,1,散漫,i,0.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,e,1,0,39,39,9,1,机智,e,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,space,9.8878,i,1,1.0794,0,0,0,33,1,刻薄,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4908,0,1,1,75,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5772,0,2,2,10,1,优秀,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.3624,0,3,3,62,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4552,0,4,4,42,1,凶狠,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4347,0,5,5,6,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4705,0,6,6,8,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5487,0,7,7,3,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.6125,0,8,8,58,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4963,0,9,9,65,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.4259,0,10,10,12,1,聪明,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5617,0,11,11,4,1,俺,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5328,0,12,12,21,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5917,0,13,13,57,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.4231,0,14,14,5,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5131,0,15,15,23,1,公正,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,0,0.4441,0,16,16,68,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5469,0,17,17,56,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.4903,0,18,18,50,1,我,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.512,0,19,19,29,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.6125,0,20,20,73,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5278,0,21,21,44,1,暴躁,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.498,0,22,22,70,1,我,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5782,0,23,23,69,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5071,0,24,24,19,1,机智,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5118,0,25,25,53,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5625,0,26,26,36,1,自卑,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.6474,0,27,27,47,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5281,0,28,28,26,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.5778,0,29,29,24,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.8196,0,30,30,14,1,乐观,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5775,0,31,31,46,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.6513,0,32,32,9,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,i,1,0.5232,0,33,33,30,1,卑鄙,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.4831,0,34,34,16,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.4417,0,35,35,61,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-02_16h59.21.146,IAT(Formal),2021.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,e,1,0.4636,0,36,36,51,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
