Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_9.started,Practice_iso.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,feedback_iso.started,fb.started,fb.stopped,feedback_iso.stopped,fix.stopped,text.stopped,key_resp_9.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.014451499999950101,0.022266199999990022,0.022266199999990022,0.5595488999999816,space,0.531785799999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
,,,,,,,,,,,,,,,0.5595722000000478,0.5632577000000083,0.5632577000000083,0.9391746999999668,space,0.37150289999999586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
俺,e,0,0,0,4,0.9544452999999748,,,,,,,,,,,,,,,,0.951325699999984,0.9544452999999748,1.441985499999987,1.4420101000000614,1.4504096000000573,1.4504096000000573,1.6728160999999773,e,0.21997569999996358,None,1.6731571999999915,1.6832938000000013,2.6719703999999638,2.6664944000000332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
我,e,0,1,1,0,2.6719703999999638,,,,,,,,,,,,,,,,2.666723700000034,2.6719703999999638,3.1571645000000217,3.157177700000034,3.163305799999989,3.163305799999989,3.38192939999999,i,0.21591320000004544,None,3.3821408999999676,3.387075600000003,4.380999699999961,4.376072900000054,3.163305799999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
他,i,0,2,2,5,4.380999699999961,,,,,,,,,,,,,,,,4.376280899999983,4.380999699999961,4.8663453000000345,4.866360699999973,4.87195429999997,4.87195429999997,4.87257610000006,i,1.633242399999972,None,4.87276810000003,4.878576899999985,5.872024699999997,5.866444399999978,4.87195429999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
他们,i,0,3,3,6,5.872024699999997,,,,,,,,,,,,,,,,5.866641299999969,5.872024699999997,6.357790499999965,6.35780950000003,6.363543199999981,6.363543199999981,6.545632299999966,i,0.17792229999997744,None,6.545850900000005,6.550866499999984,7.5446922999999515,7.540189400000031,6.363543199999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
我们,e,0,4,4,2,7.5446922999999515,,,,,,,,,,,,,,,,7.540589800000021,7.5446922999999515,8.030011800000011,8.030025199999955,8.03606549999995,8.03606549999995,9.521547299999952,None,,,9.521731199999977,9.539462400000048,10.532718499999987,10.52703729999996,8.03606549999995,9.526653900000042,9.526653900000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
他人,i,0,5,5,8,10.532718499999987,,,,,,,,,,,,,,,,10.5272334,10.538916399999948,11.024514299999964,11.024530600000048,11.03595580000001,11.03595580000001,11.036829900000043,i,2.9498066999999537,None,11.037040700000034,11.041771799999992,12.036104199999954,12.02991499999996,11.029666099999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
我的,e,0,6,6,1,12.036104199999954,,,,,,,,,,,,,,,,12.03009929999996,12.036104199999954,12.52151660000004,12.521533399999953,12.526504899999964,12.526504899999964,12.527174000000059,i,1.4351620999999568,None,12.52733360000002,12.532553300000018,13.5266977,13.52145710000002,12.526504899999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
自己,e,0,7,7,3,13.5266977,,,,,,,,,,,,,,,,13.521676700000057,13.5266977,14.011982500000045,14.011997199999996,14.017776400000002,14.017776400000002,14.024631,i,0.002721099999916987,None,14.024863900000014,14.029596100000049,15.023880299999973,15.017984400000046,14.017776400000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h00.30.875,IAT(test02),2024.1.4,None,2024-06-17 14h00.35.755660 +0800,
