Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,fb.stopped,Feedback_iso_Practice.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.005081999988760799,0.012208700005430728,0.012208700005430728,1.6416698999819346,space,1.6256820000126027,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
,,,,,,,,,,,,,,,1.6416939999908209,1.646663899999112,1.646663899999112,4.1850090000079945,space,2.5346933999680914,None,,,,,,,,,,,,,,,,,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
其他,i,0,0,0,9,4.203156600007787,,,,,,,,,,,,,,,,4.1959141999832354,4.203156600007787,4.687094299995806,4.687106300028972,4.696943900024053,4.696943900024053,5.604130599997006,i,1,0.9057834999985062,None,5.604508700023871,5.620460100006312,6.60863239999162,6.603642200003378,,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
我们,e,0,1,1,2,6.60863239999162,,,,,,,,,,,,,,,,6.603896200016607,6.60863239999162,7.094135600025766,7.094147199997678,7.106050300004426,7.106050300004426,7.760614200029522,e,1,0.6526608999702148,None,7.760866300028283,7.765949700027704,8.759879400022328,8.754031500022393,7.106050300004426,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
我,e,0,2,2,0,8.759879400022328,,,,,,,,,,,,,,,,8.754216600034852,8.759879400022328,9.245023700001184,9.245035800035112,9.250838400039356,9.250838400039356,9.493623699992895,i,0,0.23785239999415353,None,9.493835400033277,9.506656799989287,10.499208900029771,10.494004999985918,9.250838400039356,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
我的,e,0,3,3,1,10.499208900029771,,,,,,,,,,,,,,,,10.494558400008827,10.499208900029771,10.984371500031557,10.984391500009224,10.990244499989785,10.990244499989785,11.271053500007838,e,1,0.27527029998600483,None,11.271312700002454,11.277106399997137,12.269685200008098,12.265064999985043,10.990244499989785,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
他,i,0,4,4,5,12.269685200008098,,,,,,,,,,,,,,,,12.265364999999292,12.269685200008098,12.75445770000806,12.754472000000533,12.760009800025728,12.760009800025728,12.845471500011627,i,1,0.07993200002238154,None,12.845780400035437,12.85178900003666,13.844733699981589,13.83915930002695,12.760009800025728,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
自己,e,0,5,5,3,13.844733699981589,,,,,,,,,,,,,,,,13.839383299986366,13.844733699981589,14.329827499983367,14.329840400023386,14.337454000022262,14.337454000022262,14.3849545000121,i,0,0.04246580001199618,None,14.385185800027102,14.390235700004268,15.384083800017834,15.378503800020553,14.337454000022262,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
俺,e,0,6,6,4,15.384083800017834,,,,,,,,,,,,,,,,15.37871850002557,15.384083800017834,15.869258299993817,15.869271000032313,15.875362100021448,15.875362100021448,15.950354300031904,i,0,0.06950770004186779,None,15.950603800010867,15.954741900030058,16.947814300016034,16.942553300003055,15.875362100021448,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
他们,i,0,7,7,6,16.947814300016034,,,,,,,,,,,,,,,,16.94289830001071,16.947814300016034,17.432980999990832,17.432995299983304,17.445006900001317,17.445006900001317,17.445913100033067,i,1,1.5144843000452965,None,17.44615520001389,17.452624600031413,18.44471940002404,18.439018100034446,17.438662700005807,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
他的,i,0,8,8,7,18.44471940002404,,,,,,,,,,,,,,,,18.439224900037516,18.44471940002404,18.930233100021724,18.93024770001648,18.93590610002866,18.93590610002866,19.312087500002235,i,1,0.37189319997560233,None,19.312303200014867,19.317569400009234,20.30540990002919,20.300809799984563,18.93590610002866,1,001,2024-08-19_19h18.29.283,IAT(Formal),2024.1.4,None,2024-08-19 19h18.36.033856 +0800,
,,,,,,20.30540990002919,,,,,,,,,,,,,,,,20.3010806000093,20.30540990002919,20.791138200031128,20.79115860001184,20.814421300019603,20.814421300019603,,,,,,,,,,20.814421300019603,,,,,,,,
